Year,FIPS_Code,State,Area_Name,Civilian_labor_force,Employed,Unemployed,Unemployment_rate
2005,53000,WA,Washington,3259772.0,3077058.0,182714.0,5.600000000000001
2005,54000,WV,West Virginia,794557.0,751202.0,43355.0,5.5
2005,55000,WI,Wisconsin,3029662.0,2885671.0,143991.0,4.800000000000001
2005,56000,WY,Wyoming,279083.0,269172.0,9911.0,3.6
2006,0,US,United States,150707773.0,143729350.0,6978423.0,4.600000000000001
2006,1000,AL,Alabama,2170007.0,2083207.0,86800.0,4.0
2006,2000,AK,Alaska,348756.0,325672.0,23084.0,6.600000000000001
2006,4000,AZ,Arizona,2970679.0,2843054.0,127625.0,4.3
2006,5000,AR,Arkansas,1346532.0,1276000.0,70532.0,5.2
2006,6000,CA,California,17661179.0,16797845.0,863334.0,4.9
2006,8000,CO,Colorado,2640452.0,2528550.0,111902.0,4.2
2006,9000,CT,Connecticut,1831083.0,1750385.0,80698.0,4.4
2006,10000,DE,Delaware,443228.0,425995.0,17233.0,3.9
2006,12000,FL,Florida,8927098.0,8707158.0,219940.0,2.5
2006,13000,GA,Georgia,4713863.0,4474820.0,239043.0,5.100000000000001
2006,15000,HI,Hawaii,635415.0,619362.0,16053.0,2.5
2006,16000,ID,Idaho,744475.0,718848.0,25627.0,3.4
2006,17000,IL,Illinois,6515687.0,6217917.0,297770.0,4.600000000000001
2006,18000,IN,Indiana,3235980.0,3075761.0,160219.0,5.0
2006,19000,IA,Iowa,1655924.0,1595344.0,60580.0,3.7
2006,20000,KS,Kansas,1467553.0,1402950.0,64603.0,4.4
2006,21000,KY,Kentucky,2026144.0,1910580.0,115564.0,5.7
2006,22000,LA,Louisiana,2001297.0,1919476.0,81821.0,4.100000000000001
2006,23000,ME,Maine,700747.0,667801.0,32946.0,4.7
2006,24000,MD,Maryland,2984444.0,2860048.0,124396.0,4.2
2006,25000,MA,Massachusetts,3411688.0,3251029.0,160659.0,4.7
2006,26000,MI,Michigan,5056734.0,4701385.0,355349.0,7.0
2006,27000,MN,Minnesota,2889613.0,2772171.0,117442.0,4.100000000000001
2006,28000,MS,Mississippi,1280618.0,1199290.0,81328.0,6.4
2006,29000,MO,Missouri,3036656.0,2888798.0,147858.0,4.9
2006,30000,MT,Montana,495166.0,478726.0,16440.0,3.3
2006,31000,NE,Nebraska,971430.0,941941.0,29489.0,3.0
2006,32000,NV,Nevada,1291512.0,1239263.0,52249.0,4.0
2006,33000,NH,New Hampshire,732384.0,706655.0,25729.0,3.5
2006,34000,NJ,New Jersey,4436646.0,4231848.0,204798.0,4.600000000000001
2006,35000,NM,New Mexico,914467.0,876100.0,38367.0,4.2
2006,36000,NY,New York,9520386.0,9090969.0,429417.0,4.5
2006,37000,NC,North Carolina,4461103.0,4232804.0,228299.0,5.100000000000001
2006,38000,ND,North Dakota,362712.0,351410.0,11302.0,3.1
2006,39000,OH,Ohio,5957220.0,5635968.0,321252.0,5.4
2006,40000,OK,Oklahoma,1714440.0,1647518.0,66922.0,3.9
2006,41000,OR,Oregon,1881770.0,1780651.0,101119.0,5.4
2006,42000,PA,Pennsylvania,6297964.0,6002761.0,295203.0,4.7
2006,44000,RI,Rhode Island,571586.0,541675.0,29911.0,5.2
2006,45000,SC,South Carolina,2148698.0,2001245.0,147453.0,6.9
2006,46000,SD,South Dakota,432760.0,419816.0,12944.0,3.0
2006,47000,TN,Tennessee,3014749.0,2856079.0,158670.0,5.300000000000001
2006,48000,TX,Texas,11335112.0,10770786.0,564326.0,5.0
2006,49000,UT,Utah,1333278.0,1295285.0,37993.0,2.8
2006,50000,VT,Vermont,355394.0,342232.0,13162.0,3.7
2006,51000,VA,Virginia,3976503.0,3844285.0,132218.0,3.3
2006,53000,WA,Washington,3330058.0,3164354.0,165704.0,5.0
2006,54000,WV,West Virginia,804910.0,763325.0,41585.0,5.2
2006,55000,WI,Wisconsin,3066266.0,2923575.0,142691.0,4.7
2006,56000,WY,Wyoming,284826.0,276310.0,8516.0,3.0
2007,0,US,United States,152191050.0,145156133.0,7034917.0,4.600000000000001
2007,1000,AL,Alabama,2180448.0,2092030.0,88418.0,4.100000000000001
2007,2000,AK,Alaska,350233.0,328309.0,21924.0,6.300000000000001
2007,4000,AZ,Arizona,3018805.0,2905144.0,113661.0,3.8
2007,5000,AR,Arkansas,1350811.0,1277902.0,72909.0,5.4
2007,6000,CA,California,17910726.0,16955400.0,955326.0,5.300000000000001
2007,8000,CO,Colorado,2687742.0,2588340.0,99402.0,3.7
2007,9000,CT,Connecticut,1856008.0,1773047.0,82961.0,4.5
2007,10000,DE,Delaware,445306.0,429203.0,16103.0,3.6
2007,12000,FL,Florida,9113604.0,8813449.0,300155.0,3.3
2007,13000,GA,Georgia,4810264.0,4573302.0,236962.0,4.9
2007,15000,HI,Hawaii,636710.0,619224.0,17486.0,2.7
2007,16000,ID,Idaho,755287.0,732155.0,23132.0,3.1
2007,17000,IL,Illinois,6639198.0,6301409.0,337789.0,5.100000000000001
2007,18000,IN,Indiana,3202589.0,3054548.0,148041.0,4.600000000000001
2007,19000,IA,Iowa,1662155.0,1600507.0,61648.0,3.7
2007,20000,KS,Kansas,1485414.0,1422109.0,63305.0,4.3
2007,21000,KY,Kentucky,2035493.0,1925716.0,109777.0,5.4
2007,22000,LA,Louisiana,2026793.0,1943648.0,83145.0,4.100000000000001
2007,23000,ME,Maine,699753.0,667061.0,32692.0,4.7
2007,24000,MD,Maryland,2989317.0,2877994.0,111323.0,3.7
